"no	grade	word	japanese	description	sentence	japanese_sentence	pos	difficulty	frequency	""[""""年"""",""""月"""",""""週"""",""""日"""",""""時間""""]""	""[""""year"""",""""month"""",""""week"""",""""day"""",""""hour""""]""	""[""""year"""",""""ear"""",""""near"""",""""dear"""",""""yard""""]""	[]	[]"
500054	5	what is more	そのうえ	in addition; also	The bag is cheap, and what is more, it is strong.	そのかばんは安く、そのうえ丈夫です。	conjunction	5	2	""[""""そのうえ"""",""""しかし"""",""""たとえば"""",""""その代わり"""",""""一方で""""]""	""[""""what is more"""",""""however"""",""""for example"""",""""instead"""",""""on the other hand""""]""	""[""""what is more"""",""""what is wrong"""",""""what is this"""",""""once more"""",""""what's more""""]""	""[{""""word"""":""""what's more"""",""""note"""":""""より口語的な形""""},{""""word"""":""""in addition"""",""""note"""":""""ややかたい表現""""}]""	[]"
500055	5	consistent	一貫した	always acting or happening in the same way	She is consistent in her work every day.	彼女は毎日、仕事ぶりが一貫している。	adjective	5	3	""[""""一貫した"""",""""不注意な"""",""""正直な"""",""""活発な"""",""""静かな""""]""	""[""""consistent"""",""""careless"""",""""honest"""",""""active"""",""""quiet""""]""	""[""""consistent"""",""""assistant"""",""""constant"""",""""resistant"""",""""distance""""]""	""[{""""word"""":""""constant"""",""""note"""":""""変わらないという意味で近い""""}]""	""[{""""word"""":""""inconsistent"""",""""note"""":""""一貫していない""""}]"""
500056	5	spectacular	見事な	very exciting and impressive	We saw a spectacular view from the mountain.	私たちは山から見事な景色を見た。	adjective	5	2	""[""""見事な"""",""""退屈な"""",""""普通の"""",""""静かな"""",""""簡単な""""]""	""[""""spectacular"""",""""boring"""",""""ordinary"""",""""quiet"""",""""easy""""]""	""[""""spectacular"""",""""special"""",""""particular"""",""""spectator"""",""""circular""""]""	""[{""""word"""":""""amazing"""",""""note"""":""""日常会話で使いやすい近い語""""},{""""word"""":""""impressive"""",""""note"""":""""強く印象に残る感じ""""}]""	""[{""""word"""":""""ordinary"""",""""note"""":""""特別ではない""""}]"""
500057	5	phenomenal	驚異的な	extremely great or impressive	She showed phenomenal talent in music.	彼女は音楽で驚異的な才能を見せた。	adjective	5	2	""[""""驚異的な"""",""""普通の"""",""""静かな"""",""""危険な"""",""""正直な""""]""	""[""""phenomenal"""",""""ordinary"""",""""quiet"""",""""dangerous"""",""""honest""""]""	""[""""phenomenal"""",""""fundamental"""",""""professional"""",""""personal"""",""""final""""]""	""[{""""word"""":""""amazing"""",""""note"""":""""より日常的な語""""},{""""word"""":""""remarkable"""",""""note"""":""""すぐれた点を強調""""}]""	""[{""""word"""":""""ordinary"""",""""note"""":""""特別ではない""""}]"""
500058	5	dose	1回分	an amount of medicine taken at one time	Take one dose after dinner.	夕食後に1回分を飲みなさい。	noun	4	3	""[""""1回分"""",""""温度"""",""""速度"""",""""量"""",""""番号""""]""	""[""""dose"""",""""temperature"""",""""speed"""",""""amount"""",""""number""""]""	""[""""dose"""",""""close"""",""""those"""",""""rose"""",""""code""""]""	[]	[]"
500059	5	glare	にらみつける	to look at someone angrily	He began to glare at me.	彼は私をにらみつけ始めた。	verb	5	2	""[""""にらみつける"""",""""見つめる"""",""""微笑む"""",""""ささやく"""",""""うなずく""""]""	""[""""glare"""",""""stare"""",""""smile"""",""""whisper"""",""""nod""""]""	""[""""glare"""",""""glass"""",""""gray"""",""""globe"""",""""grade""""]""	""[{""""word"""":""""stare"""",""""note"""":""""怒りの意味は弱い""""}]""	""[{""""word"""":""""smile"""",""""note"""":""""やさしい表情を見せる""""}]"""
500060	5	wildlife	野生生物	animals and plants living in nature	The park is home to a lot of wildlife.	その公園にはたくさんの野生生物がいます。	noun	5	3	""[""""野生生物"""",""""農場"""",""""森林"""",""""砂漠"""",""""海岸""""]""	""[""""wildlife"""",""""farmland"""",""""forest"""",""""desert"""",""""coast""""]""	""[""""wildlife"""",""""wildfire"""",""""weekday"""",""""windmill"""",""""waterfall""""]""	""[{""""word"""":""""nature"""",""""note"""":""""自然全体を表すことが多い""""}]""	[]"
500061	5	opposition	反対	the act of being against something	There was strong opposition to the new plan.	その新しい計画には強い反対がありました。	noun	6	3	""[""""反対"""",""""賛成"""",""""提案"""",""""議論"""",""""決定""""]""	""[""""opposition"""",""""support"""",""""proposal"""",""""discussion"""",""""decision""""]""	""[""""opposition"""",""""operation"""",""""opinion"""",""""position"""",""""option""""]""	""[{""""word"""":""""resistance"""",""""note"""":""""より強く反対する感じ""""}]""	""[{""""word"""":""""support"""",""""note"""":""""賛成して支えること""""}]"""
500062	5	at any rate	とにかく	in any case; anyway	At any rate, we have to finish this today.	とにかく、私たちは今日これを終えなければなりません。	adverb	5	2	""[""""とにかく"""",""""たぶん"""",""""突然"""",""""実は"""",""""その後""""]""	""[""""at any rate"""",""""probably"""",""""suddenly"""",""""actually"""",""""afterward""""]""	""[""""at any rate"""",""""at the gate"""",""""on any day"""",""""in any way"""",""""at eight""""]""	""[{""""word"""":""""anyway"""",""""note"""":""""より口語的""""},{""""word"""":""""in any case"""",""""note"""":""""ほぼ同じ意味""""}]""	[]"
500063	5	more or less	だいたい	almost; approximately	The work is more or less finished.	その仕事はだいたい終わっています。	adverb	5	3	""[""""だいたい"""",""""完全に"""",""""突然"""",""""特に"""",""""めったに""""]""	""[""""more or less"""",""""completely"""",""""suddenly"""",""""especially"""",""""rarely""""]""	""[""""more or less"""",""""more or worse"""",""""more or best"""",""""more or late"""",""""more or long""""]""	""[{""""word"""":""""almost"""",""""note"""":""""少しだけ違い、ほぼ""""},{""""word"""":""""roughly"""",""""note"""":""""おおよそ、ややくだけた近い意味""""}]""	""[{""""word"""":""""exactly"""",""""note"""":""""正確に""""}]"""
500064	5	vicinity	近所	the area near a place	There are no stores in the vicinity.	近所には店がありません。	noun	6	2	""[""""近所"""",""""都会"""",""""中心"""",""""国境"""",""""地下""""]""	""[""""vicinity"""",""""downtown"""",""""center"""",""""border"""",""""underground""""]""	""[""""vicinity"""",""""facility"""",""""visibility"""",""""visitor"""",""""electricity""""]""	""[{""""word"""":""""area"""",""""note"""":""""より広い意味で「地域」""""},{""""word"""":""""neighborhood"""",""""note"""":""""日常的な語""""}]""	[]"
500065	5	province	州	a large area of a country	He grew up in a small province.	彼は小さな州で育ちました。	noun	5	3	""[""""州"""",""""都市"""",""""村"""",""""首都"""",""""島""""]""	""[""""province"""",""""city"""",""""village"""",""""capital"""",""""island""""]""	""[""""province"""",""""promise"""",""""provide"""",""""project"""",""""problem""""]""	""[{""""word"""":""""region"""",""""note"""":""""より一般的な「地域」""""}]""	[]"
500066	5	tract	広い土地	a large area of land	They bought a tract of land near the river.	彼らは川の近くの広い土地を買った。	noun	5	2	""[""""広い土地"""",""""森"""",""""畑"""",""""島"""",""""海岸""""]""	""[""""tract"""",""""forest"""",""""field"""",""""island"""",""""coast""""]""	""[""""tract"""",""""track"""",""""truck"""",""""trick"""",""""trade""""]""	""[{""""word"""":""""area"""",""""note"""":""""より広く一般的な語""""},{""""word"""":""""region"""",""""note"""":""""やや広い地域を表す""""}]""	[]"
500067	5	dispute	言い争い	an argument or disagreement	The two boys had a dispute about the game.	その二人の少年はその試合について言い争いをした。	noun	5	3	""[""""言い争い"""",""""約束"""",""""相談"""",""""冗談"""",""""あいさつ""""]""	""[""""dispute"""",""""promise"""",""""advice"""",""""joke"""",""""greeting""""]""	""[""""dispute"""",""""despite"""",""""display"""",""""distance"""",""""discuss""""]""	""[{""""word"""":""""argument"""",""""note"""":""""より一般的な語""""},{""""word"""":""""quarrel"""",""""note"""":""""口げんかの感じが強い""""}]""	""[{""""word"""":""""agreement"""",""""note"""":""""意見が一致すること""""}]"""
500068	5	limb	手足	an arm or a leg	The monkey moved quickly from limb to limb.	その猿は枝から枝へすばやく動いた。	noun	5	2	""[""""手足"""",""""指"""",""""首"""",""""背中"""",""""胸""""]""	""[""""limb"""",""""finger"""",""""neck"""",""""back"""",""""chest""""]""	""[""""limb"""",""""lamp"""",""""lamb"""",""""lip"""",""""link""""]""	[]	[]"
500069	5	show up	現れる	to arrive or appear somewhere	He did not show up for the meeting.	彼は会議に現れなかった。	verb	5	3	""[""""現れる"""",""""集まる"""",""""出発する"""",""""隠れる"""",""""続ける""""]""	""[""""show up"""",""""gather"""",""""leave"""",""""hide"""",""""continue""""]""	""[""""show up"""",""""slow up"""",""""shut up"""",""""grow up"""",""""throw out""""]""	""[{""""word"""":""""appear"""",""""note"""":""""少しかたい語""""},{""""word"""":""""arrive"""",""""note"""":""""到着する意味で近い""""}]""	""[{""""word"""":""""disappear"""",""""note"""":""""見えなくなる""""},{""""word"""":""""hide"""",""""note"""":""""隠れる""""}]"""
500070	5	turn up	現れる	to arrive or be found unexpectedly	She turned up at my house after lunch.	彼女は昼食のあと私の家に現れた。	verb	5	3	""[""""現れる"""",""""戻る"""",""""片づける"""",""""通り過ぎる"""",""""あきらめる""""]""	""[""""turn up"""",""""return"""",""""clean up"""",""""pass by"""",""""give up""""]""	""[""""turn up"""",""""burn up"""",""""tear up"""",""""turn off"""",""""stand up""""]""	""[{""""word"""":""""appear"""",""""note"""":""""姿を見せる""""},{""""word"""":""""show up"""",""""note"""":""""より口語的""""}]""	""[{""""word"""":""""disappear"""",""""note"""":""""見えなくなる""""}]"""
500071	5	painting	絵	a picture made with paint	This painting is very beautiful.	この絵はとても美しい。	noun	4	4	""[""""絵"""",""""写真"""",""""地図"""",""""手紙"""",""""看板""""]""	""[""""painting"""",""""photo"""",""""map"""",""""letter"""",""""sign""""]""	""[""""painting"""",""""pointing"""",""""painter"""",""""waiting"""",""""painted""""]""	""[{""""word"""":""""picture"""",""""note"""":""""より広い意味で使う""""}]""	[]"
500072	5	in exchange for	〜と引き換えに	as a trade for something	He gave me his ticket in exchange for mine.	彼は私のチケットと引き換えに自分のチケットをくれた。	preposition	5	3	""[""""〜と引き換えに"""",""""〜の代わりに"""",""""〜のおかげで"""",""""〜について"""",""""〜の前に""""]""	""[""""in exchange for"""",""""instead of"""",""""because of"""",""""about"""",""""before""""]""	""[""""in exchange for"""",""""in charge of"""",""""in front of"""",""""on sale for"""",""""at school for""""]""	[]	[]"
500073	5	in return for	〜のお返しに	as a result of something given or done	She helped me in return for my advice.	彼女は私の助言のお返しに私を手伝ってくれた。	preposition	5	3	""[""""〜のお返しに"""",""""〜の代わりに"""",""""〜に加えて"""",""""〜の前に"""",""""〜の近くに""""]""	""[""""in return for"""",""""instead of"""",""""in addition to"""",""""before"""",""""near""""]""	""[""""in return for"""",""""in turn for"""",""""in time for"""",""""in search of"""",""""in need of""""]""	[]	[]"
500074	5	consult	相談する	to ask someone for advice	You should consult your teacher about it.	あなたはそれについて先生に相談するべきです。	verb	5	4	""[""""相談する"""",""""説明する"""",""""招待する"""",""""拒否する"""",""""比較する""""]""	""[""""consult"""",""""explain"""",""""invite"""",""""refuse"""",""""compare""""]""	""[""""consult"""",""""result"""",""""concert"""",""""contact"""",""""collect""""]""	""[{""""word"""":""""ask"""",""""note"""":""""advice を求める意味で近い""""},{""""word"""":""""discuss"""",""""note"""":""""相談して話し合う時に近い""""}]""	[]"
500075	5	inquire	尋ねる	to ask for information	I called to inquire about the class.	私はその授業について尋ねるために電話しました。	verb	5	3	""[""""尋ねる"""",""""選ぶ"""",""""集める"""",""""運ぶ"""",""""隠す""""]""	""[""""inquire"""",""""invite"""",""""improve"""",""""include"""",""""increase""""]""	""[""""inquire"""",""""require"""",""""inspire"""",""""entire"""",""""inside""""]""	""[{""""word"""":""""ask"""",""""note"""":""""より基本的な語""""},{""""word"""":""""question"""",""""note"""":""""ややかたい言い方""""}]""	[]"
500076	5	appeal	訴える	to strongly ask for help or support	They appeal for help after the storm.	彼らは嵐のあとで助けを訴える。	verb	5	4	""[""""訴える"""",""""防ぐ"""",""""断る"""",""""許す"""",""""比べる""""]""	""[""""appeal"""",""""avoid"""",""""refuse"""",""""allow"""",""""compare""""]""	""[""""appeal"""",""""appear"""",""""apart"""",""""apply"""",""""awake""""]""	""[{""""word"""":""""request"""",""""note"""":""""ていねいに求める""""},{""""word"""":""""beg"""",""""note"""":""""より強く頼む""""}]""	[]"
